id;name;1992K1;1992K2;1992K3;1992K4;1993K1;1993K2;1993K3;1993K4;1994K1;1994K2;1994K3;1994K4;1995K1;1995K2;1995K3;1995K4;1996K1;1996K2;1996K3;1996K4;1997K1;1997K2;1997K3;1997K4;1998K1;1998K2;1998K3;1998K4;1999K1;1999K2;1999K3;1999K4;2000K1;2000K2;2000K3;2000K4;2001K1;2001K2;2001K3;2001K4;2002K1;2002K2;2002K3;2002K4;2003K1;2003K2;2003K3;2003K4;2004K1;2004K2;2004K3;2004K4;2005K1;2005K2;2005K3;2005K4;2006K1;2006K2;2006K3;2006K4;2007K1;2007K2;2007K3;2007K4;2008K1;2008K2;2008K3;2008K4;2009K1;2009K2;2009K3;2009K4;2010K1;2010K2;2010K3;2010K4;2011K1;2011K2;2011K3;2011K4;2012K1;2012K2;2012K3;2012K4;2013K1;2013K2;2013K3;2013K4;2014K1;2014K2;2014K3;2014K4;2015K1;2015K2;2015K3;2015K4;2016K1;2016K2;2016K3;2016K4;2017K1;2017K2;2017K3;2017K4;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3
400;Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2235;2879;2173;1708;2597;2502;2332;2431;2715;2847;3079;3337;2753;2236;2443;0;4436;3593;0;3906;2910;3705;0;3143;3574;3862;5629;3801;4312;4517;5605;2733;8663;10107;9779;9780;8537;12466;13227;12143;9377;15454;15007;14975;13567;18158;17827;16490;12348;16405;15625;0;0;12639;13878;13407;11967;10046;13155;9722;15185;12099;9527;8615;10229;10337;9305;10018;8963;10288;12721;9475;11433;11407;8516;10320;11827;9252;8080;11742;10587;11595;10551;9448;12860;13032;10867;11837;13165;12371;11701;12337;12163;12678;14250;14063;12797;15568;15455
253;Greve;6447;7122;6954;6775;6662;6676;7598;7209;8409;7718;9020;8403;8409;7930;8347;8121;9635;9245;9479;9811;9470;10602;10330;10157;11197;11317;11677;12406;12522;12636;12451;12978;12573;12859;14167;14089;14454;14003;14440;14766;16291;15886;16546;18630;15904;17221;17303;19493;17347;17886;19390;18452;19211;19694;20744;22351;25743;26571;26927;27630;25385;25974;26361;24766;26286;22632;19693;20836;0;19516;19117;20257;18013;18799;18371;19491;21049;19861;17457;18086;17553;20102;17956;20129;20468;18792;19576;20131;19559;19658;18162;20404;20101;22731;22421;23195;23904;22733;24204;25024;26055;25416;26297;25653;27977;28144;29712;27154;27229;27768;28367;26878;29001;28652;28974
259;Køge;6012;6688;6691;5842;5456;6723;6686;6166;7728;6574;6630;6033;5307;7348;6163;7101;6549;7172;7208;7686;8074;8131;8312;8235;8749;9410;9768;9803;9304;9704;10975;11309;9784;11413;11624;11633;13211;12698;13145;12738;12885;13617;13964;13955;13888;13889;15579;13688;15171;16899;15926;15602;16927;17426;17572;17273;17842;21479;23220;22476;23827;21697;24014;20027;19039;20875;21014;17780;18205;16576;18064;15732;19529;16531;16955;16243;15091;17290;15772;13936;15414;13975;14868;13544;14653;18018;16434;15706;14789;15124;15536;18431;18610;18793;20514;19797;19164;21001;20934;22114;22160;22444;20220;22085;22023;25123;24049;24852;23245;26437;26218;26031;24912;25068;26656
350;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265;Roskilde;6610;6787;6944;6253;6603;6089;6449;6723;7187;6643;6686;6569;6748;7071;6765;6745;7032;7739;7629;7854;8145;8595;8673;8741;8769;9563;10245;10168;10778;11157;11687;11606;11389;11767;12520;12511;12635;12881;13562;13685;13488;14669;14746;14852;14904;15717;15254;16066;15707;16776;16933;18005;18000;19856;19901;20852;23768;24286;25637;24498;24627;23701;24470;22784;22111;21752;19908;17492;16792;17626;15896;17028;17961;17670;17581;17782;18355;18088;17066;15651;15980;17549;16951;16993;17446;17300;17498;17166;16991;18443;18398;18737;19337;20930;20488;20605;22335;21292;21981;22414;22667;23271;23747;24508;24387;25305;24771;25421;25721;26035;27214;26118;27711;26275;27058
269;Solrød;7374;6170;6567;6157;5890;6478;7007;6432;7367;6756;7334;6479;6571;6465;6963;7411;8644;8042;7781;7795;8586;7884;9340;10162;9840;10071;10578;10773;10486;11845;11363;11690;11664;11459;12844;13726;13540;13573;12921;13447;14228;14652;16630;15238;16427;14921;15299;16832;16804;17575;16333;18552;17662;16571;20152;21998;24863;23589;0;0;23527;24521;24703;23350;0;22619;20428;0;18029;0;18643;17548;17620;17483;16153;17467;16395;15721;17007;0;15296;15843;16686;15153;0;16384;16483;0;16465;18389;15984;16952;17683;18255;19501;0;21557;20733;20812;21379;22371;23555;21475;25143;23507;23403;25390;23899;26384;25782;25356;27556;25682;25517;26674
320;Faxe;7365;6574;0;0;0;5652;0;5913;6592;5844;0;6133;0;6654;6651;6684;0;7124;6859;7595;7788;0;7751;0;8360;8648;7875;8687;8368;9061;7747;8603;9154;9235;0;9946;8648;10001;0;0;10221;0;0;11883;11345;0;0;11926;11099;0;0;0;0;12093;0;0;0;0;0;0;17968;19889;0;20668;18686;17851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12927;0;11760;0;0;12126;0;0;0;0;0;15061;0;11780;0;0;0
376;Guldborgsund;3934;3292;3671;3409;3646;3658;4226;3883;3113;3909;3531;4066;4264;4411;3823;3915;3509;4659;4381;4245;4032;5055;3633;6738;5583;3969;5310;4155;4755;4620;5381;5500;5518;11909;5888;6096;5294;6286;6869;6647;6662;7076;6816;5658;8078;7440;9379;9219;7734;8950;8321;7467;8941;11921;9581;11615;12663;13984;13648;10432;11198;11954;13182;12786;11932;12466;10254;10955;0;10563;12228;10697;10408;9530;0;10099;0;10164;11162;8696;7214;8778;8798;8299;0;0;10106;0;6404;6662;10618;9474;9419;9883;6611;0;6873;10098;6917;7190;6601;9042;11010;7893;9229;11356;9427;10300;9972;11256;11739;9577;10200;12536;12833
316;Holbæk;6315;6232;5790;6041;0;5830;5758;6024;5796;6188;5989;5726;5588;6187;5683;6883;7168;6871;6592;6728;7746;8691;8025;7268;8390;7377;8388;8764;8225;8987;8907;9451;10738;8603;10358;9214;11281;10101;10905;10545;12529;10765;12015;13937;12022;12398;11271;13509;11303;15442;16929;16146;15560;18530;18213;18479;19368;20258;17821;22688;21211;22881;21795;20913;20544;22031;18928;18924;0;15633;17767;14584;14526;14677;13620;15857;0;19535;17411;19274;17340;15710;15631;18986;19042;11994;16935;16996;16486;18190;18496;16257;17294;18072;16880;16989;19070;18481;15969;15682;16063;18796;21808;20405;20092;18999;22012;18952;19474;21994;22178;21603;22338;21214;23698
326;Kalundborg;5551;4923;4148;5058;4813;0;4752;4821;5789;4205;4766;3558;6191;4914;5468;5545;5152;5622;5216;4562;5081;5342;5397;6330;6083;5721;5882;5815;5976;6855;7451;6975;7307;6857;8987;6450;6837;8055;8432;8130;9217;10037;8935;9728;10397;9951;9531;9820;9753;10159;10132;0;11835;12348;12555;0;11981;13739;11128;12060;12227;0;0;13351;13779;0;13300;0;0;12048;10595;0;0;0;11704;0;0;0;0;8163;0;0;0;0;0;0;0;0;0;7087;0;0;0;0;7345;8525;0;9279;0;0;7758;0;8425;6259;8833;0;0;8626;0;8823;0;8495;0;0;0
